Designator,Mid X,Mid Y,Rotation,Layer
C13,110.85,-137.81,0.0,top
C14,120.2,-127.6,180.0,top
C15,249.14,-83.7425,270.0,top
C16,247.54,-93.2425,270.0,top
C17,115.95,-136.89,0.0,top
C18,115.95,-139.4,0.0,top
C19,115.2,-130.28,0.0,top
C20,115.2,-132.79,0.0,top
C23,140.6,-131.61,0.0,top
C24,126.0,-109.67,0.0,top
C25,126.0,-112.18,0.0,top
C26,206.6,-118.97,0.0,top
C27,132.2,-105.57,0.0,top
C28,132.2,-108.08,0.0,top
C32,206.6,-121.48,0.0,top
C33,206.6,-123.99,0.0,top
C34,206.6,-126.5,0.0,top
C35,206.6,-129.01,0.0,top
C36,206.6,-131.52,0.0,top
C37,206.6,-134.03,0.0,top
C38,206.6,-136.54,0.0,top
C39,206.6,-139.05,0.0,top
C40,206.6,-141.56,0.0,top
C41,210.95,-118.97,0.0,top
C42,210.95,-121.48,0.0,top
C43,210.95,-123.99,0.0,top
C44,132.2,-110.59,0.0,top
C45,132.2,-113.1,0.0,top
D1,253.34,-95.905,90.0,top
D2,254.54,-83.6425,90.0,top
J1,105.5,-122.5,270.0,top
R10,257.04,-90.6425,0.0,top
R11,257.04,-88.8425,0.0,top
R13,242.75,-83.25,0.0,top
R18,144.95,-131.61,0.0,top
R19,136.35,-130.49,0.0,top
R20,136.35,-133.0,0.0,top
R21,136.35,-135.51,0.0,top
R22,136.35,-138.02,0.0,top
R24,144.95,-136.63,0.0,top
R26,130.35,-117.2,0.0,top
R27,138.0,-106.47,0.0,top
R28,138.0,-108.98,0.0,top
R29,138.0,-111.49,0.0,top
R30,138.0,-114.0,0.0,top
R31,138.0,-116.51,0.0,top
R33,210.95,-131.52,0.0,top
R34,210.95,-134.03,0.0,top
R36,210.95,-136.54,0.0,top
R37,210.95,-139.05,0.0,top
R38,210.95,-141.56,0.0,top
R39,215.3,-118.97,0.0,top
R40,215.3,-121.48,0.0,top
R41,215.3,-123.99,0.0,top
R42,215.3,-126.5,0.0,top
R43,215.3,-129.01,0.0,top
R44,215.3,-131.52,0.0,top
R45,215.3,-134.03,0.0,top
R46,215.3,-136.54,0.0,top
R47,215.3,-139.05,0.0,top
R48,215.3,-141.56,0.0,top
R49,219.65,-118.97,0.0,top
R50,219.65,-121.48,0.0,top
R51,219.65,-123.99,0.0,top
R52,219.65,-126.5,0.0,top
R53,219.65,-129.01,0.0,top
R54,219.65,-131.52,0.0,top
R55,219.65,-134.03,0.0,top
R56,219.65,-136.54,0.0,top
U1,226.05,-121.07,270.0,top
U10,125.65,-134.3,180.0,top
U11,125.65,-139.075,180.0,top
U12,245.1,-106.4,0.0,top
U13,151.95,-130.4,0.0,top
U2,226.05,-127.65,270.0,top
U5,131.13,-129.475,180.0,top
U6,131.13,-134.1,180.0,top
U7,131.13,-138.725,180.0,top
U8,252.7,-89.5,90.0,top
U9,125.65,-129.525,180.0,top
